occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures
0.256,0.631,0.114,0.313,0.154,0,0,0,0,0,0,0
0.244,0.628,0.129,0.318,0.153,0,0,0,0,0,0,0.135
0.494,0.683,0.22,0.248,0.244,0,0,0,0,0,0.233,0.316
0.667,0.791,0.364,0.14,0.447,0,0,0,0,0,0.0167,0.0451
0.828,0.897,0.466,0.0725,0.715,0,0,0,0,0,0,0.0902
1,0.993,0.636,0,1,0,0,0,0,0,0,0.0902
1,0.984,0.816,0,0.989,0,0,0,0,0,0,0.0902
1,0.95,0.984,0,0.82,0,0,0,0,0,0,0.0902
1,0.81,0.74,0.103,0.501,0,0,0,0,0,0,0.18
1,0.707,0.421,0.173,0.335,0,0,0,0,0,0,0
1,0.623,0.132,0.281,0.142,0,0,0,0,0,0,0
1,0.613,0.065,0.281,0.0878,0,0,0,0,0,0,0.158
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0.0379
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.576,0.02,0.388,0.059,0,0,0,0,0,0,0
0.922,0.607,0.0277,0.313,0.112,0,0,0,0,0,0,0.0451
0.828,0.623,0.0418,0.318,0.151,0,0,0,0,0,0,0.129
1,0.649,0.0683,0.281,0.195,0,0,0,0,0,0,0.211
0.678,0.694,0.128,0.211,0.276,0,0,0,0,0,0,0.209
0.333,0.651,0.107,0.281,0.199,0,0,0,0,0,0,0.0451
0.333,0.651,0.118,0.281,0.193,0,0,0,0,0,0,0.226
0.333,0.651,0.127,0.281,0.188,0,0,0,0,0,0,0
0.656,0.734,0.271,0.145,0.315,0,0,0,0,0,0.25,0.271
0.839,0.781,0.382,0.0678,0.396,0,0,0,0,0,0,0
0.667,0.756,0.343,0.14,0.361,0,0,0,0,0,0,0.135
0.744,0.819,0.405,0.108,0.496,0,0,0,0,0,0,0.226
0.922,0.931,0.515,0.0327,0.776,0,0,0,0,0,0,0.0902
0.744,0.884,0.481,0.108,0.76,0,0,0,0,0,0,0.316
1,0.879,0.62,0.105,0.753,0,0,0,0,0,0,0
1,0.95,0.984,0,0.82,0,0,0,0,0,0,0
1,0.883,0.967,0,0.63,0,0,0,0,0,0,0.201
1,0.787,0.645,0.0327,0.495,0,0,0,0,0,0,0.193
1,0.682,0.245,0.14,0.233,0,0,0,0,0,0,0.0902
1,0.602,0.0689,0.32,0.0921,0,0,0,0,0,0,0.0948
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.894,0.648,0.0441,0.227,0.196,0,0,0,0,0,0.567,0.0451
0.644,0.701,0.0655,0.15,0.288,0,0,0,0,0,0.533,0.0902
0.333,0.648,0.0506,0.281,0.193,0,0,0,0,0,0.183,0.18
0.333,0.651,0.0585,0.281,0.2,0,0,0,0,0,0,0.18
0.333,0.651,0.0654,0.281,0.199,0,0,0,0,0,0,0.0451
0.333,0.651,0.0716,0.281,0.194,0,0,0,0,0,0,0
0.333,0.651,0.0762,0.281,0.188,0,0,0,0,0,0,0.316
0.333,0.651,0.0828,0.281,0.186,0,0,0,0,0,0,0.271
0.333,0.651,0.0891,0.281,0.188,0,0,0,0,0,0,0.316
0.522,0.714,0.144,0.201,0.294,0,0,0,0,0,0.0667,0.268
0.667,0.785,0.21,0.14,0.43,0,0,0,0,0,0.183,0.305
0.667,0.824,0.258,0.14,0.554,0,0,0,0,0,0.0667,0
0.939,0.929,0.424,0.0608,0.843,0,0,0,0,0,0.183,0.267
1,0.988,0.681,0,1,0,0,0,0,0,0,0
1,0.957,0.88,0,0.855,0,0,0,0,0,0,0
1,0.84,0.762,0.0795,0.561,0,0,0,0,0,0,0
1,0.692,0.375,0.22,0.291,0,0,0,0,0,0,0
1,0.627,0.135,0.281,0.156,0,0,0,0,0,0,0.228
1,0.603,0.0569,0.316,0.0886,0,0,0,0,0,0,0.36
1,0.573,0.0212,0.395,0.0556,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.591,0.0187,0.342,0.052,0,0,0,0,0,0,0.159
1,0.615,0.0247,0.271,0.0738,0,0,0,0,0,0,0.109
1,0.673,0.0481,0.14,0.2,0,0,0,0,0,0.317,0.327
0.706,0.637,0.0412,0.264,0.176,0,0,0,0,0,0.2,0.251
0.333,0.614,0.0376,0.342,0.134,0,0,0,0,0,0.25,0.135
0.333,0.651,0.0585,0.281,0.2,0,0,0,0,0,0,0.135
0.333,0.651,0.0654,0.281,0.199,0,0,0.274,0.246,0.333,0,0.406
0.333,0.651,0.0716,0.281,0.194,0,0,0.56,0,0.2,0,0
0.333,0.651,0.0762,0.281,0.188,0,0,0.382,0,0,0,0.0902
0.333,0.651,0.0828,0.281,0.186,0,0,0.627,0,0,0,0
0.333,0.651,0.0891,0.281,0.188,0,0,0.5,0,0,0,0
0.439,0.689,0.123,0.236,0.253,0,0,0.818,0,0,0,0.135
0.667,0.785,0.21,0.14,0.43,0,0,0.274,0,0,0,0.226
0.667,0.824,0.258,0.14,0.554,0,0,0.239,0,0,0,0.135
0.772,0.894,0.391,0.0959,0.772,0,0,0.853,0,0,0,0.18
1,0.988,0.681,0,1,0,0,0.595,0,0,0,0.18
1,0.957,0.88,0,0.855,0,0,0.457,0,0,0,0.165
1,0.896,0.931,0,0.661,0,0,0.454,0,0,0,0
1,0.735,0.504,0.159,0.368,0,0,0.278,0,0,0,0.0451
1,0.627,0.135,0.281,0.156,0,0,0,0,0,0,0
1,0.614,0.0637,0.281,0.095,0,0,0,0,0,0,0
1,0.585,0.028,0.36,0.0619,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.568,0.0166,0.412,0.051,0,0,0,0,0,0,0.0451
0.978,0.608,0.0233,0.29,0.0691,0,0,0,0,0,0,0
0.478,0.569,0.0176,0.412,0.0579,0,0,0,0,0,0,0.0771
0.144,0.591,0.025,0.36,0.0962,0,0,0,0,0,0,0.207
0.106,0.592,0.0282,0.377,0.0973,0,0,0,0,0,0,0
0.333,0.651,0.0585,0.281,0.2,0,0,0,0,0,0,0.316
0.333,0.651,0.0654,0.281,0.199,0,0,0.197,0.246,0.0833,0,0.0902
0.333,0.651,0.0716,0.281,0.194,0,0,0.454,0,1,0,0.0451
0.333,0.651,0.0762,0.281,0.188,0,0,0.494,0,1,0,0.0451
0.606,0.721,0.138,0.166,0.296,0,0,0.537,0,0.367,0.567,0.0451
0.667,0.737,0.162,0.14,0.324,0,0,0.508,0,0,0.2,0.135
0.478,0.695,0.129,0.22,0.262,0,0,0.145,0,0,0,0.0451
0.417,0.7,0.134,0.246,0.281,0,0,0,0,0,0,0.135
0.628,0.816,0.254,0.157,0.552,0,0,0.33,0.246,0.0833,0,0
1,0.99,0.493,0,0.977,0,0,0.485,0,0.183,0,0.135
0.728,0.873,0.492,0.115,0.744,0,0,0.33,0,0,0,0.361
0.667,0.826,0.592,0.14,0.587,0,0,0.543,0,0,0,0
0.939,0.873,0.873,0.0257,0.617,0,0,0.466,0,0,0,0.18
1,0.776,0.605,0.0795,0.455,0,0,0.55,0,0,0,0
1,0.671,0.231,0.185,0.24,0,0,0.407,0,0,0,0.0451
1,0.6,0.0551,0.325,0.0869,0,0,0,0,0,0,0.0451
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.811,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.667,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.644,0.614,0.0376,0.342,0.134,0,0,0,0,0,0,0.287
0.311,0.645,0.0554,0.29,0.19,0,0,0,0,0,0,0.147
0,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.0222,0.571,0.021,0.412,0.0599,0,0,0,0,0,0,0.0451
0.356,0.656,0.0941,0.271,0.197,0,0,0,0,0,0.0667,0.135
0.667,0.751,0.177,0.14,0.354,0,0,0,0,0,0.7,0.18
0.939,0.877,0.291,0.0257,0.59,0,0,0,0,0,0,0.451
1,0.954,0.379,0,0.806,0,0,0,0,0,0,0.496
1,0.99,0.493,0,0.977,0,0,0,0,0,0.0667,0.271
1,0.988,0.681,0,1,0,0,0,0,0,0.183,0.18
1,0.957,0.88,0,0.855,0,0,0,0,0,0,0
1,0.84,0.762,0.0795,0.561,0,0,0,0,0,0,0
1,0.692,0.375,0.22,0.291,0,0,0,0,0,0,0
1,0.578,0.0489,0.395,0.0791,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
